"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"DDX11L1",90.6141489903252,9.23375896442053e-06,0.00144254994724683,0.390553061625564,0.999652655765148
"WASH7P",523.01815445414,-3.70562995752264e-05,0.00144264029917996,0.92252911847558,0.999652655765148
"MIR1302-2",6.57750482023773,2.45970697701814e-06,0.00144266981353954,0.565019793922736,0.999652655765148
"FAM138A",17.2064940005564,1.20875133587947e-06,0.0014425984668487,0.955426964616126,0.999652655765148
"OR4F5",6.82173087593281,2.69633404779276e-07,0.00144266343687646,0.957256818808052,0.999652655765148
"LOC729737",150.816279783769,6.55963880446226e-05,0.00144330086776167,0.819531894918098,0.999652655765148
"LOC100132287",82.7196191077364,6.07158825130924e-05,0.00144312480510979,0.19441434238947,0.999652655765148
"OR4F29",5.27767473577033,1.4739472172431e-07,0.00144266562219041,0.970466604432522,0.999652655765148
"LOC101928626",3.68926998915646,1.90585077656046e-06,0.00144267348253762,0.607941695034953,0.999652655765148
"MIR12136",18.1695558244487,-1.63125274166532e-06,0.00144269324140803,0.195793173467265,0.999652655765148
"OR4F16",4.75631206170971,1.60040627265275e-06,0.00144267088631582,0.703819144192485,0.999652655765148
"LOC100133331",79.3089165863319,1.59357170704134e-05,0.00144252615695349,0.176427100591029,0.999652655765148
"LOC100288069",116.446960880977,4.23826393886866e-05,0.00144261323224246,0.225598703857258,0.999652655765148
"FAM87B",56.9796849308839,9.04200577938787e-06,0.0014425402565598,0.416724876252628,0.999652655765148
"LINC00115",5.02012725046724,2.82851889540663e-07,0.00144267959145755,0.941449307079637,0.999652655765148
"LINC01128",420.698243116982,-1.72119825864379e-05,0.00144218208319622,0.804683267288061,0.999652655765148
"FAM41C",56.7197883599298,-1.22107310600095e-06,0.00144251352584851,0.926556063908449,0.999652655765148
"LINC02593",62.7484273933175,6.72565434037781e-05,0.00144326829562946,0.788447079643907,0.999652655765148
"SAMD11",254.589142374749,-1.38998856815231e-07,0.0014423689244855,0.879656345559831,0.999652655765148
"NOC2L",253.598296562352,-5.37874099970247e-05,0.00144276637194321,0.103747281972352,0.999652655765148
"KLHL17",146.364756625314,-6.93706104126402e-06,0.00144252367407619,0.472560625562619,0.999652655765148
"PLEKHN1",101.813690323824,1.37732045971479e-05,0.00144244322632601,0.87800747701369,0.999652655765148
"PERM1",76.0253494250502,-2.93488748544905e-06,0.00144259409660813,0.728049884227331,0.999652655765148
"HES4",2.42270420530713,3.19261053981875e-06,0.00144268581628601,0.258500626955809,0.999652655765148
"ISG15",25.1258279819337,6.14050912059582e-06,0.00144263409154729,0.391769034347062,0.999652655765148
"AGRN",700.123297308802,1.67057114880926e-06,0.00144239147034718,0.930010616149376,0.999652655765148
"LOC100288175",96.3358453107737,-1.36343666601894e-05,0.00144249634725554,0.419423185653196,0.999652655765148
"RNF223",73.7040743700443,7.70006274635601e-06,0.00144255052259788,0.954581683364332,0.999652655765148
"C1orf159",507.980641096488,2.18325930125631e-05,0.00144212022450228,0.365994098214533,0.999652655765148
"LINC01342",118.347377672465,5.96952592617224e-06,0.00144246561907889,0.639492804120087,0.999652655765148
"MIR200B",4.42874586260631,-1.17644147240723e-06,0.00144267172713497,0.614180712858388,0.999652655765148
"MIR200A",4.71385192202955,7.12868092697829e-06,0.00144267471643996,0.185005590659899,0.999652655765148
"MIR429",5.55756028371408,-1.30393663220094e-06,0.00144267611530269,0.725315595191076,0.999652655765148
"TTLL10",404.142297465528,-6.89960998267157e-06,0.00144236731311478,0.641768215140152,0.999652655765148
"TNFRSF18",55.429992193007,-4.14872723218772e-06,0.00144253269008827,0.721809450948887,0.999652655765148
