Geneid,A01,A02,A03,A04,A05,A06,A07,A10,A11,A12,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A35,A36,A37,A38,A39,A41,A42,A43,A44,A45,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A59,A60,A61,A62,A63
PERM1,89.01948921,42.8662738,47.19204541,178.4327206,113.2388154,86.2210999,91.61076848,47.72158954,70.25322696,68.90848011,70.67878542,86.87837667,111.9009829,60.51619155,121.8469373,83.96342303,80.67359122,78.59774349,51.28641779,51.62083548,75.45712499,88.01426192,131.0165263,50.82856833,74.35270263,84.28329022,104.7388429,132.7591981,62.07334898,99.62527236,74.04246804,98.02029168,86.38854941,71.79547955,70.41744011,95.42404308,96.05731023,65.91817512,56.31223692,95.40265805,77.92900259,75.3466203,86.01785792,92.22421073,50.22519634,78.7622641,115.7812654,58.05216933,69.53665562,81.75245544,87.06382459,75.32615244,57.51727825,90.15631384,71.26195521
C1orf159,562.9715283,440.2482174,441.4739732,593.6640048,562.0385243,551.0965302,568.9203775,413.1684989,503.7895881,452.9472046,490.7807796,576.2565744,516.3871046,497.0264257,558.0589726,612.2332929,575.8853281,527.7277063,581.6098017,439.3506664,543.5707707,574.3494784,511.8785215,481.4328547,484.0670744,499.4099436,453.2335385,578.7704369,534.1195145,577.8265797,555.6924621,533.7511195,553.637921,525.1706374,420.3379502,597.8780752,527.5011613,549.8175061,466.9795257,438.312212,555.4939159,472.3653504,584.2511648,534.1910052,460.1276052,584.2365413,699.950377,520.9005464,440.3988189,537.3520769,475.3214207,525.8344873,471.6416816,521.997481,439.151799
B3GALT6,109.8930246,33.59789027,63.93760991,87.54876476,66.48884576,84.0655724,86.35919576,31.39578259,61.93376587,73.95056402,92.12066414,52.78686178,98.55499411,59.52412284,95.04061106,83.96342303,80.67359122,24.9516646,56.74241968,39.00240903,86.63595832,83.50071002,76.17239904,53.7056571,75.90171727,44.02858444,79.98238914,84.27971568,38.97628889,74.26611212,96.47957956,68.15473406,89.39336852,63.15343108,37.91708313,70.93468689,71.63596017,74.90701718,35.71019902,73.80205623,94.9135288,23.18357548,74.84670754,96.48071276,30.78318486,90.72615232,95.48195261,64.32807953,47.41135611,75.7913389,47.0615268,70.25612295,47.45175455,63.63975094,55.22801529
C1QTNF12,111.7348071,44.02482174,45.66972137,138.4104281,116.3554801,96.99873739,130.7058098,71.58238431,84.11899544,72.26986938,90.53237683,90.17755553,118.06067,83.33377197,120.6284679,128.2774519,94.32604511,37.4274969,75.29282612,59.65074322,108.2949479,91.39942584,80.23492699,80.55848565,111.5290539,52.83430133,77.12587524,130.5216836,60.62978272,95.09685089,91.24425354,134.0121175,120.9439692,104.3693545,56.33395208,90.35727973,93.61517523,110.8623854,59.05917531,77.40215653,90.91716969,72.44867337,109.4772737,104.2842998,66.42687259,95.71110574,130.8177933,48.63830403,95.8762979,93.67468853,23.5307634,93.43340063,53.20348238,107.5814837,86.40512069
TAS1R3,152.8679504,53.29320526,101.9957111,250.9731256,107.0054861,128.6131407,165.7162946,96.69901038,87.8165337,110.0854987,118.3274048,105.5737236,187.8704575,105.1592837,125.5023454,121.2804999,111.7018955,62.3791615,108.0288375,72.26916967,146.7221875,104.9400815,119.8445745,75.7633377,85.97031241,95.60492622,148.5387227,134.9967127,75.06544528,124.0787483,109.1939428,124.0569317,135.9680647,123.6477703,96.41772568,112.3132542,109.8960753,111.6114556,92.02243595,100.8028085,138.873479,52.16304482,132.9366895,111.3784699,79.38821358,166.4974444,137.5842309,75.31092238,119.0551831,88.56516006,101.1822826,125.3021574,93.46557715,131.8251984,88.18666957
MXRA8,202.5960789,133.2330132,232.915579,257.6435077,185.9609905,227.7674056,161.631738,120.5598051,154.3722224,174.7922422,196.1534831,142.9644173,235.0947255,174.6040936,196.173569,193.5823364,194.8577511,99.8066584,137.4912477,128.4785239,219.3846041,151.2039884,263.0486847,148.6495866,199.8228883,148.4392276,222.808084,264.7725581,135.695228,187.4766489,178.0010848,215.1851716,205.830109,201.4262065,138.6681897,156.2252033,179.0899004,188.7656833,149.7081421,174.6048647,181.8343394,168.0809222,195.4951316,167.4224133,124.7529071,171.4823978,221.7887876,120.8112713,211.7707239,134.5509162,138.8315041,176.7267423,126.5380121,181.0702438,164.7932714
LINC01770,111.1208796,50.97610938,53.28134159,125.0696639,124.6665858,109.9319024,110.283027,79.11737213,71.17761153,78.15230061,107.2093936,91.27728182,159.1252509,101.1910088,143.779386,116.6158653,122.8720851,61.13157827,103.664036,69.97491031,148.1195416,103.8116935,181.7981257,59.45983465,93.7153856,55.35022045,95.21712993,153.6426675,76.50901153,121.3616954,134.6226692,112.5701787,136.7192695,111.6818571,93.16768999,76.00145024,95.24326523,112.3605258,68.67345966,93.6026079,107.9016959,84.04046111,100.5403534,99.31838078,43.74452585,108.6719846,115.029439,51.77625913,105.3585691,86.01039583,82.35767191,102.8491697,47.45175455,124.2490376,81.06047405
VWA1,234.5203095,96.15947906,187.2458576,229.2943839,257.6442773,267.2854097,267.8302085,109.2573234,152.5234533,232.7762072,283.5092853,162.7594905,204.2962899,208.3344299,249.7862214,330.0228989,245.7441702,118.5204068,156.0416541,84.88759612,234.0568229,164.7446441,179.7668617,177.4204744,243.1952982,108.1845218,204.7168293,250.6016325,124.146698,182.0425431,245.3124194,245.0507292,289.9650441,235.3296274,145.1682611,223.7820479,238.5151856,205.9942972,98.88978191,175.5048898,250.771534,86.93840804,310.5579805,291.5703893,108.5512308,190.4252208,251.1100171,103.5525183,205.4492098,178.8334963,70.59229021,228.875617,106.4069648,227.2848248,167.4655947
CALML6,39.29136076,15.06112323,21.31253664,56.69824765,25.97220537,33.76993079,48.4311706,3.767493911,31.42907522,28.57180882,33.35403357,34.0915149,36.95812279,27.77792399,25.58785682,15.16006249,42.19849387,14.97099876,25.09760871,16.05981548,26.54972916,33.8516392,46.71907141,23.97573978,21.68620493,21.38531244,38.08685197,41.02110055,17.32279506,23.54779165,27.67243755,35.22604232,21.78493855,24.59659947,22.75024988,39.68964624,19.53708005,24.71931567,17.85509951,29.70082751,20.98088531,2.897946935,31.27922106,19.86367616,19.44201149,41.87360876,42.85410472,15.6897755,25.28605659,16.18017347,30.58999242,22.45298775,10.06552369,19.69801815,25.83245876
PEX10,158.393298,113.5376982,74.59387823,154.2525855,109.0832626,144.4203423,165.7162946,79.11737213,106.304225,100.8416782,136.5927089,141.864691,174.5244687,115.0799708,134.031631,116.6158653,115.425292,124.758323,123.3056428,84.88759612,115.9803958,110.5820214,143.2041102,97.82101829,134.7642735,83.02533067,137.1126671,136.4883891,80.8397103,110.4934839,124.1520171,107.209694,122.4463787,120.9886785,82.33423766,139.3359921,118.0365253,119.1021573,89.27549756,99.90278343,109.8998755,127.5096651,161.9816805,124.147976,129.6134099,129.608789,130.8177933,78.44887748,88.50119806,103.8937455,80.00459557,112.2649387,84.83798541,110.6119481,99.76673729
