data$Geneid,A01,A04,A05,A14,A15,A16,A19,A20,A25,A26,A30,A31,A33,A36,A38,A41,A43,A50,A51,A57
PERM1,89.01948921217885,178.4327205575767,113.2388154335568,70.67878541645001,86.87837667306641,111.90098289687683,83.96342303020802,80.673591216155,88.01426191524216,131.01652634540932,104.73884292086622,132.75919814818627,99.62527235635265,98.02029167934698,71.79547954820339,95.42404307952745,65.91817511703191,86.01785791590805,92.22421072557245,81.75245544119333
C1orf159,562.9715283280552,593.6640048457691,562.038524307837,490.78077963332703,576.2565743884405,516.3871045608169,612.2332929286002,575.8853280660911,574.3494783956187,511.87852153555275,453.2335384575665,578.7704368707447,577.8265796668454,533.7511195351941,525.1706374359321,597.8780752239419,549.8175060897889,584.2511648054534,534.1910052027389,537.3520769103437
B3GALT6,109.89302461365529,87.54876475955865,66.48884575915261,92.12066413829439,52.786861776040354,98.55499411101077,83.96342303020802,80.673591216155,83.50071002215283,76.17239903802869,79.98238913957056,84.27971567834297,74.26611212019016,68.15473405829594,63.15343108406779,70.93468689097615,74.90701717844536,74.8467075372187,96.48071275906041,75.79133889860633
C1QTNF12,111.73480714907967,138.41042809606415,116.35548007851708,90.53237682556518,90.17755553406894,118.060670028815,128.2774518517067,94.32604511427354,91.39942583505918,80.23492698672354,77.12587524172876,130.52168357265504,95.09685088560934,134.0121175303572,104.36935452840677,90.35727973017201,110.86238542409913,109.4772737111557,104.284299820455,93.67468852636736
TAS1R3,152.86795044022438,250.97312564406812,107.00548614363625,118.32740479832641,105.57372355208071,187.8704575241143,121.2804999325227,111.70189553006078,104.9400815143272,119.84457448649846,148.5387226877739,134.9967127237175,124.07874829836648,124.05693165667353,123.64777033301694,112.31325424404558,111.61145559588358,132.93668950640335,111.37846987626827,88.56516006129277
MXRA8,202.5960788966829,257.64350772098686,185.96099048262997,196.15348312205788,142.9644173101093,235.0947255356403,193.58233643075738,194.85775109132825,151.20398841849294,263.04868467799236,222.80808403166085,264.7725581045288,187.47664888877273,215.18517157731642,201.42620651023728,156.22520327179274,188.7656832896823,195.49513162706376,167.42241331719308,134.55091624696402
LINC01770,111.12087963727154,125.06966394222664,124.66658579841116,107.20939360922192,91.27728182106978,159.12525090840282,116.61586531973337,122.87208508306685,103.81169354105486,181.79812570409513,95.21712992806019,153.64266751981108,121.36169541592051,112.57017872550004,111.68185707498304,76.0014502403316,112.36052576766804,100.54035340820423,99.31838078138571,86.01039582875549
VWA1,234.5203095107057,229.2943838940822,257.6442773167164,283.50928532216466,162.75949047612443,204.2962898759494,330.02289885484544,245.7441701661337,164.74464409776098,179.7668617297477,204.71682934532942,250.60163245949767,182.04254312388076,245.05072919836743,235.32962740799996,223.78204792986526,205.99429724072473,310.55798052756415,291.5703892939252,178.8334962776104
CALML6,39.291360755720326,56.69824765380941,25.97220537466899,33.354033567313486,34.091514897026066,36.958122791629044,15.160062491565338,42.198493866911846,33.85163919817006,46.719071409990924,38.08685197122408,41.021100551405866,23.54779164786517,35.22604232226532,24.596599474847455,39.68964623661761,24.719315668886967,31.279221060330205,19.863676156277144,16.18017347273618
PEX10,158.39329804649756,154.25258552874618,109.08326257360976,136.5927088947124,141.86469102310846,174.52446873824826,116.61586531973337,115.42529204772947,110.58202138068887,143.20411019149392,137.11266709640668,136.48838910740497,110.49348388613657,107.20969402428575,120.98867849789829,139.3359921072746,119.10215731372811,161.9816804909957,124.14797597673214,103.89374545651653
PRXL2B,85.94985165313821,160.0891698460501,73.76106326405994,69.09049810372079,98.97536583007566,101.63483767697986,87.46189898980002,79.43245904359877,50.77745879725509,83.2818229482447,75.22153264316755,92.48393578862414,83.32295506167677,82.70462110444902,75.11934434210168,93.73512196307563,74.1579470066609,72.61247746148082,87.96770869208449,85.15880775124306
ARHGEF16,448.16708361993494,367.7048119901463,439.4497149393993,370.07094386590677,457.48613539234975,472.24268011526,426.8140670702241,361.1694622138632,354.3138236075133,474.30013801012524,434.1901124719545,419.1610638161836,410.2749852493432,427.30720903965323,386.89786200976266,444.1862536268269,434.4606996349831,483.7108113972492,390.1793530697296,384.0662229581062
LRRC47,499.73699461181786,262.64629427867595,526.7163249982872,499.5163598533377,415.6965364863178,394.2199764440431,478.12504781090684,471.6302255713677,467.1526209347469,423.5185386514395,397.05543180001104,507.91580864558904,467.3330957807088,558.2561924550308,456.0342497228474,456.8531620002155,475.659559083128,612.1790407521768,524.2591671246004,499.88220149979674
AJAP1,679.6177555716,304.33618225941814,570.349630027731,585.2838747407152,657.6363196265028,542.0524676105592,574.9162160262855,567.1974028581975,495.3623202665553,772.8959422391977,670.3285946935438,478.828119163683,701.9053279652119,599.6085030072553,608.9320302421694,585.2111668505532,601.5033479429162,607.7105806007011,522.1309161078564,688.9347547075563
ESPN,428.52140324207477,417.732677567037,407.24418027480976,372.4533748350006,416.79626277331863,374.7143005262389,392.99546612750146,430.6728638770121,396.0641786185897,493.59714576642585,440.8553115669187,527.3076016335264,383.1044564248834,372.93657849876547,360.97171661735587,468.67560981537815,364.7971736590289,546.2692535179096,375.28159595252174,378.9566944930316
PHF13,178.65290593616584,145.91460793259776,146.48323831313311,188.21204655841183,179.25538478113705,246.38748527752693,171.42532202000805,145.21246418907901,155.7175403115823,216.32961326800145,184.7212320604368,177.50948965881085,181.1368588297321,145.4988704615307,151.5682346017627,206.0483762071212,138.5779817801239,164.21591056673356,142.59281812184665,152.43426587472507
CASZ1,3096.650369560208,2984.9959794211427,2826.814832978973,2422.9322955684156,2559.0630698509563,4495.544991792877,2579.542940872502,2803.7175778045253,2490.3522570120444,4625.188069589101,3219.2911628677152,4055.8680872462746,3039.4764911629045,2473.4807978460212,2523.478151527593,4331.238203140675,2444.9650407044564,3418.372015878944,2380.0940537253505,2809.389067713508
PRAMEF34P,14.120332771586991,13.340764153837508,10.388882149867596,12.70629850183371,17.595620592013454,8.212916175917565,5.830793265986668,23.581511278568385,11.283879732723355,11.171951858910873,13.330398189928427,12.679249261343632,10.868211529783926,9.955185873683677,18.613642845830505,10.977987256936785,13.483263092120165,10.054035340820421,12.769506100463877,7.6642926976118755
MFAP2,114.19051719631219,148.41600121144228,127.78325044337144,101.65038801466967,90.17755553406894,102.66145219896956,111.95123070694403,104.25510249472339,155.7175403115823,116.79767852497731,109.49969941726923,128.2841689971238,110.49348388613657,101.84920932307148,111.01708411620338,119.06893870985283,103.37168370625459,92.72054814312168,118.47263993208153,105.59692161154139
KLHDC7A,46.658490897417884,100.88952891339616,33.244422879576305,44.47204475641798,63.78412464604876,56.463798709433256,25.65549037034134,37.23396517668692,44.00713095762108,55.859759294554365,49.5129075625913,42.512776935093356,46.189899001581686,40.58652702347961,27.92046426874576,70.93468689097615,37.45350858922268,42.45037143901956,37.59910129581031,50.2436965732334
IFFO2,1024.0310896959609,1175.6548410569305,932.9216170581102,943.4426637611529,932.567891376713,1132.3558177546342,886.2805764299736,980.4944163194224,1002.0085202658339,1152.7423054421674,921.7018177036226,1131.4365370269581,1076.8586257427573,969.4819473910412,893.4548565998643,959.3071941446299,868.1723290981816,1092.5385070358193,891.0277590101462,929.9341806435742
PLA2G2E,34.37994066125528,119.23307962492274,37.39997573952335,30.177458941855058,37.39069375802858,72.88963106126839,33.818600942722675,42.198493866911846,37.23680311798707,70.07860711498638,61.891134453239125,55.93786438828073,38.03874035424374,39.05495996598981,41.88069640311864,60.80116019226528,33.708157730300414,48.03594662836424,24.120178189765102,39.173051565571804
PLA2G2F,102.52589447195771,238.46615924984548,69.60551040411289,69.8846417600854,114.37153384808744,142.69941855656768,92.12653360258936,57.09207993758662,81.24393407560815,148.2822701273625,125.68661150503945,102.92567047443654,103.2480095329473,63.56003288582656,78.443209136,162.13642717937407,72.659806663092,157.51322033951996,56.75336044650612,82.60404351870577
CAMK2N1,7.367130141697561,103.3909221922407,4.155552859947038,5.559005594552247,7.6980840090058855,21.558904961783607,4.664634612789334,12.411321725562308,6.770327839634013,28.437695640864042,24.75645378129565,15.662602028718604,7.245474353189284,5.360484701214288,14.625005093152541,16.889211164518134,8.988842061413443,6.702690227213615,7.803587061394592,15.328585395223751
SH2D5,191.54538368413657,245.97033908637906,204.66097835239165,183.44718462022416,182.55456364213956,139.6195749905986,192.41617777756005,208.51020498944678,163.61625612448864,207.188925383438,133.30398189928428,219.27642840206047,197.439176124408,204.46420217488784,232.00576261410168,183.24794113502173,214.98313930213817,205.5491669678842,205.02151461300338,185.64620089770986
ALPL,1006.8411193653333,1309.0624825953055,1116.8048311107666,1062.564212215844,1100.8260132878415,1150.8348791504488,1061.2043744095736,945.7427154878479,1033.6033835174592,1058.2885306350117,1171.1706981151403,1082.2112163652712,986.2901963278913,1040.6998155643169,971.2332927770847,1009.9748276381844,990.2707670990476,1012.1062243092558,939.9775323952576,905.2381263957137
RAP1GAP,851.5174588778764,1280.713358768401,811.3716959046593,706.7878541645001,889.6785661836801,973.2305668462315,721.8522063291496,774.4664756750881,828.2367723818942,1016.6476191608895,908.3714195136943,966.606296629491,729.0758567896717,791.8201687222248,731.9150276164067,971.9741025180185,707.1222421645242,943.9622069992507,693.8098314585374,718.7403374204914
CNR2,505.87626972989915,414.3974865285776,481.0052435388697,551.9298411734018,392.60228445930017,431.17809923567216,490.9527929960775,461.7011681909179,507.77458797255093,397.11210698492283,419.90754298274544,412.4485200895899,517.1457319588851,513.8407477878268,493.92630837328807,397.740922924402,492.139102862386,472.53966101855985,541.9945922641335,454.74803339163793
