Geneid	A01	A04	A05	A14	A15	A16	A19	A20	A25	A26	A30	A31	A33	A36	A38	A41	A43	A50	A51	A57
PERM1	89.01948921	178.4327206	113.2388154	70.67878542	86.87837667	111.9009829	83.96342303	80.67359122	88.01426192	131.0165263	104.7388429	132.7591981	99.62527236	98.02029168	71.79547955	95.42404308	65.91817512	86.01785792	92.22421073	81.75245544
C1orf159	562.9715283	593.6640048	562.0385243	490.7807796	576.2565744	516.3871046	612.2332929	575.8853281	574.3494784	511.8785215	453.2335385	578.7704369	577.8265797	533.7511195	525.1706374	597.8780752	549.8175061	584.2511648	534.1910052	537.3520769
B3GALT6	109.8930246	87.54876476	66.48884576	92.12066414	52.78686178	98.55499411	83.96342303	80.67359122	83.50071002	76.17239904	79.98238914	84.27971568	74.26611212	68.15473406	63.15343108	70.93468689	74.90701718	74.84670754	96.48071276	75.7913389
C1QTNF12	111.7348071	138.4104281	116.3554801	90.53237683	90.17755553	118.06067	128.2774519	94.32604511	91.39942584	80.23492699	77.12587524	130.5216836	95.09685089	134.0121175	104.3693545	90.35727973	110.8623854	109.4772737	104.2842998	93.67468853
TAS1R3	152.8679504	250.9731256	107.0054861	118.3274048	105.5737236	187.8704575	121.2804999	111.7018955	104.9400815	119.8445745	148.5387227	134.9967127	124.0787483	124.0569317	123.6477703	112.3132542	111.6114556	132.9366895	111.3784699	88.56516006
MXRA8	202.5960789	257.6435077	185.9609905	196.1534831	142.9644173	235.0947255	193.5823364	194.8577511	151.2039884	263.0486847	222.808084	264.7725581	187.4766489	215.1851716	201.4262065	156.2252033	188.7656833	195.4951316	167.4224133	134.5509162
LINC01770	111.1208796	125.0696639	124.6665858	107.2093936	91.27728182	159.1252509	116.6158653	122.8720851	103.8116935	181.7981257	95.21712993	153.6426675	121.3616954	112.5701787	111.6818571	76.00145024	112.3605258	100.5403534	99.31838078	86.01039583
VWA1	234.5203095	229.2943839	257.6442773	283.5092853	162.7594905	204.2962899	330.0228989	245.7441702	164.7446441	179.7668617	204.7168293	250.6016325	182.0425431	245.0507292	235.3296274	223.7820479	205.9942972	310.5579805	291.5703893	178.8334963
CALML6	39.29136076	56.69824765	25.97220537	33.35403357	34.0915149	36.95812279	15.16006249	42.19849387	33.8516392	46.71907141	38.08685197	41.02110055	23.54779165	35.22604232	24.59659947	39.68964624	24.71931567	31.27922106	19.86367616	16.18017347
PEX10	158.393298	154.2525855	109.0832626	136.5927089	141.864691	174.5244687	116.6158653	115.425292	110.5820214	143.2041102	137.1126671	136.4883891	110.4934839	107.209694	120.9886785	139.3359921	119.1021573	161.9816805	124.147976	103.8937455
PRXL2B	85.94985165	160.0891698	73.76106326	69.0904981	98.97536583	101.6348377	87.46189899	79.43245904	50.7774588	83.28182295	75.22153264	92.48393579	83.32295506	82.7046211	75.11934434	93.73512196	74.15794701	72.61247746	87.96770869	85.15880775
ARHGEF16	448.1670836	367.704812	439.4497149	370.0709439	457.4861354	472.2426801	426.8140671	361.1694622	354.3138236	474.300138	434.1901125	419.1610638	410.2749852	427.307209	386.897862	444.1862536	434.4606996	483.7108114	390.1793531	384.066223
LRRC47	499.7369946	262.6462943	526.716325	499.5163599	415.6965365	394.2199764	478.1250478	471.6302256	467.1526209	423.5185387	397.0554318	507.9158086	467.3330958	558.2561925	456.0342497	456.853162	475.6595591	612.1790408	524.2591671	499.8822015
AJAP1	679.6177556	304.3361823	570.34963	585.2838747	657.6363196	542.0524676	574.916216	567.1974029	495.3623203	772.8959422	670.3285947	478.8281192	701.905328	599.608503	608.9320302	585.2111669	601.5033479	607.7105806	522.1309161	688.9347547
ESPN	428.5214032	417.7326776	407.2441803	372.4533748	416.7962628	374.7143005	392.9954661	430.6728639	396.0641786	493.5971458	440.8553116	527.3076016	383.1044564	372.9365785	360.9717166	468.6756098	364.7971737	546.2692535	375.281596	378.9566945
PHF13	178.6529059	145.9146079	146.4832383	188.2120466	179.2553848	246.3874853	171.425322	145.2124642	155.7175403	216.3296133	184.7212321	177.5094897	181.1368588	145.4988705	151.5682346	206.0483762	138.5779818	164.2159106	142.5928181	152.4342659
CASZ1	3096.65037	2984.995979	2826.814833	2422.932296	2559.06307	4495.544992	2579.542941	2803.717578	2490.352257	4625.18807	3219.291163	4055.868087	3039.476491	2473.480798	2523.478152	4331.238203	2444.965041	3418.372016	2380.094054	2809.389068
PRAMEF34P	14.12033277	13.34076415	10.38888215	12.7062985	17.59562059	8.212916176	5.830793266	23.58151128	11.28387973	11.17195186	13.33039819	12.67924926	10.86821153	9.955185874	18.61364285	10.97798726	13.48326309	10.05403534	12.7695061	7.664292698
MFAP2	114.1905172	148.4160012	127.7832504	101.650388	90.17755553	102.6614522	111.9512307	104.2551025	155.7175403	116.7976785	109.4996994	128.284169	110.4934839	101.8492093	111.0170841	119.0689387	103.3716837	92.72054814	118.4726399	105.5969216
KLHDC7A	46.6584909	100.8895289	33.24442288	44.47204476	63.78412465	56.46379871	25.65549037	37.23396518	44.00713096	55.85975929	49.51290756	42.51277694	46.189899	40.58652702	27.92046427	70.93468689	37.45350859	42.45037144	37.5991013	50.24369657
IFFO2	1024.03109	1175.654841	932.9216171	943.4426638	932.5678914	1132.355818	886.2805764	980.4944163	1002.00852	1152.742305	921.7018177	1131.436537	1076.858626	969.4819474	893.4548566	959.3071941	868.1723291	1092.538507	891.027759	929.9341806
PLA2G2E	34.37994066	119.2330796	37.39997574	30.17745894	37.39069376	72.88963106	33.81860094	42.19849387	37.23680312	70.07860711	61.89113445	55.93786439	38.03874035	39.05495997	41.8806964	60.80116019	33.70815773	48.03594663	24.12017819	39.17305157
PLA2G2F	102.5258945	238.4661592	69.6055104	69.88464176	114.3715338	142.6994186	92.1265336	57.09207994	81.24393408	148.2822701	125.6866115	102.9256705	103.2480095	63.56003289	78.44320914	162.1364272	72.65980666	157.5132203	56.75336045	82.60404352
CAMK2N1	7.367130142	103.3909222	4.15555286	5.559005595	7.698084009	21.55890496	4.664634613	12.41132173	6.77032784	28.43769564	24.75645378	15.66260203	7.245474353	5.360484701	14.62500509	16.88921116	8.988842061	6.702690227	7.803587061	15.3285854
SH2D5	191.5453837	245.9703391	204.6609784	183.4471846	182.5545636	139.619575	192.4161778	208.510205	163.6162561	207.1889254	133.3039819	219.2764284	197.4391761	204.4642022	232.0057626	183.2479411	214.9831393	205.549167	205.0215146	185.6462009
ALPL	1006.841119	1309.062483	1116.804831	1062.564212	1100.826013	1150.834879	1061.204374	945.7427155	1033.603384	1058.288531	1171.170698	1082.211216	986.2901963	1040.699816	971.2332928	1009.974828	990.2707671	1012.106224	939.9775324	905.2381264
RAP1GAP	851.5174589	1280.713359	811.3716959	706.7878542	889.6785662	973.2305668	721.8522063	774.4664757	828.2367724	1016.647619	908.3714195	966.6062966	729.0758568	791.8201687	731.9150276	971.9741025	707.1222422	943.962207	693.8098315	718.7403374
CNR2	505.8762697	414.3974865	481.0052435	551.9298412	392.6022845	431.1780992	490.952793	461.7011682	507.774588	397.112107	419.907543	412.4485201	517.145732	513.8407478	493.9263084	397.7409229	492.1391029	472.539661	541.9945923	454.7480334
LINC02800	188.4757461	177.5989228	197.3887608	177.888179	199.0504579	227.9084239	211.0747162	188.6520902	170.386584	246.7985729	174.2473478	202.8679882	211.0244405	179.9591293	181.4830177	191.6925467	185.0203324	206.666282	195.7990935	186.497789
PAFAH2	394.7553901	255.9759122	433.2163856	420.1019942	371.707485	350.075552	420.9832738	383.5098413	462.639069	320.9397079	348.4946955	363.2231994	442.8796198	409.6941879	438.0853798	363.11804	395.5090507	407.7469888	422.8125353	372.995578
TENT5B	141.8172552	204.2804511	138.1721326	148.5048637	135.2663333	147.8324912	157.4314182	135.2834068	124.1226771	182.8137577	136.1604958	149.1676384	124.9844326	153.1567057	138.9375484	131.7358471	133.3344906	161.9816805	149.6869882	149.8795016
STX12	449.3949386	441.9128126	423.8663917	481.2510558	486.0790189	496.8814286	473.4604132	451.7721108	514.5449158	468.2063461	447.5205107	428.8569603	485.4467817	493.1645925	461.3524334	439.9639508	497.3825941	512.7558024	469.6340577	461.560738
OPRD1	702.3330735	552.8079146	647.2273579	564.6361397	486.0790189	399.3530491	563.2546295	628.0128793	547.268167	527.1130013	466.5639366	623.5207284	585.9777383	585.058616	679.3979639	466.9866887	617.9828917	619.998846	650.5353941	554.3838385
ZCCHC17	440.7999535	436.910026	488.277461	481.2510558	478.3809348	411.6724233	460.632668	430.6728639	472.7945608	444.8468104	414.1945152	407.2276527	462.8046743	450.2807149	432.1024232	455.1642409	511.6149273	423.3865994	447.6421305	418.9813341
RBBP4	434.0467508	504.4476446	381.2719749	433.6024364	364.009401	680.6454281	448.9710815	443.0841856	423.14549	489.5346178	412.2901726	454.2154588	416.6147753	401.2705691	450.7160661	532.8546122	449.4421031	411.0983339	468.9246407	425.7940388
DLGAP3	344.4133341	269.3166764	395.8164099	343.8642032	299.1255501	279.23915	369.6722931	368.6162552	284.3537693	313.830284	276.1296768	282.6726747	348.6884532	372.9365785	325.7387498	274.4496814	352.8120509	294.91837	340.5201627	318.493941
AGO3	1098.930246	942.1914684	1108.493725	1137.213716	1217.397	1057.412958	1075.198278	1051.23895	1118.232482	1053.210371	948.3626141	955.4187238	1173.766845	1111.1519	1171.329953	1125.665924	1182.032731	1151.745604	1139.323711	1210.106658
THRAP3	1551.394822	1568.373586	1432.626848	1686.761126	1519.821729	1756.537447	1662.942239	1540.245026	1586.51349	1684.933467	1527.282764	1593.856216	1507.058665	1625.758432	1568.864183	1706.654788	1507.129186	1585.186239	1633.787364	1593.321293
GRIK3	1163.392635	827.9611753	1054.471538	906.9120556	953.4626908	668.3260538	1320.091595	1162.940846	1122.746033	912.0375245	870.2845675	1031.494219	818.7386019	1049.889218	999.81853	739.747449	979.7837847	1003.169304	1043.552415	939.3016495
LINC01137	278.7230904	334.3529016	253.4887245	250.1552518	268.333214	346.9957084	250.7241104	259.3966241	252.758906	340.2367157	277.0818481	272.23094	264.4598139	275.6820703	244.6364488	326.806236	257.6801391	292.6841399	279.5103002	215.4517836
RSPO1	115.4183722	129.2386527	110.1221508	105.6211063	109.9726287	109.8477539	104.9542788	95.56717729	109.4536334	121.8758385	121.8779263	96.21312675	129.5128541	110.2728281	115.6704948	99.64634587	113.8586661	137.4051497	100.0277978	109.0032739
BMP8B	391.6857525	473.5971275	462.3052557	348.6290651	313.4219918	426.0450266	445.4726055	431.913996	345.2867198	416.4091147	407.5293161	440.7903714	459.1819371	397.4416514	387.562635	398.5853835	340.8269282	360.8281572	442.6762115	406.207513
CITED4	11.05069521	25.01393279	10.38888215	7.147292907	2.199452574	12.31937426	16.32622114	8.687925208	2.256775947	16.25011179	14.28256949	11.18757288	1.811368588	2.297350586	3.323864794	19.42259284	1.498140344	3.351345114	14.89775712	11.07064501
FOXO6	157.165443	406.8933067	177.6498848	172.3291734	196.8510054	238.1745691	152.7667836	141.4890677	144.4336606	301.6427002	231.3776257	205.1055028	204.6846505	145.4988705	156.8864183	222.9375874	149.0649642	173.1528309	160.3282433	168.6144393
EDN2	89.63341672	192.6072825	97.65549221	100.8562444	120.9698916	142.6994186	65.30488458	86.87925208	108.3252454	150.3135341	115.2127272	129.0300072	83.32295506	77.3441364	93.06821423	123.2912415	85.39399958	71.49536242	81.58295564	81.75245544
CCDC30	607.1743092	736.2434217	642.0329169	576.5482945	640.040699	598.5162663	654.2150044	592.0200463	616.0998334	636.801256	735.076243	611.5873173	613.1482671	645.5555147	636.1877216	546.3659812	758.0590138	678.088828	659.7578152	596.1116543
