data$Geneid,C07,C10,C11,C12,C17,C18,C35,C36,C37,C39,C42,C44,C49,D01,D04,D05,D15,D16,D19,D20,D25,D31,D38,D41,D51,D57,E02,E03,E06
LOC100132287,99.62002335851992,75.20881709746604,89.97225591269992,79.00794880924018,77.90975609694186,78.41612612968092,65.26942716501249,99.6688771436593,62.750727552225996,50.424471219348845,83.60652206388532,55.828712432850295,87.23856109964659,105.91561245632374,64.45121641325672,81.959992507929,92.01647789979175,92.4522978368951,96.99386427690554,141.48550943171205,129.32339672700317,80.43106458670633,84.9715361252731,106.96788871200937,102.13752452109155,66.4826724137176,73.18612834186968,43.49619043241464,99.05250807898321
LOC100133331,92.50430740433993,66.06179880182827,88.43426863214094,59.255961606930136,63.74434589749789,75.92672530016723,52.21554173200999,82.62025342171758,72.47267125750045,72.9827872911628,85.82616424257253,52.638500293830276,96.93173455516288,89.34378193594657,70.4189216367064,76.99272023472119,72.9785859205245,95.06887230397703,88.2892867135935,119.6300242349435,107.18695944940804,76.15281647039217,80.19785432048248,99.22679150258763,98.05202354024789,71.46887284474641,53.92662088348292,49.07262510323704,78.04137000162314
B3GALT6,56.925727633439955,46.751426844370776,70.74741490571276,59.255961606930136,73.86249603995786,64.72442156735568,46.41381487289777,88.52170009469741,45.958279334024674,26.539195378604656,86.5660449688016,41.472757807260216,70.62169231876152,82.13863823143474,33.419149251318295,76.99272023472119,75.09390725155419,81.98599996856734,109.428975081637,94.32367295447469,103.69173251084038,66.740670614501,36.27998171640874,75.29976376437502,98.05202354024789,72.29990624991788,42.37091640845087,39.03504269575674,80.29256336705457
ATAD3A,382.82551833488367,304.90060985459206,426.02247671483553,301.2178048352282,411.80871079812124,385.8571285746204,277.0324575226085,371.1354241007313,278.4011151964956,237.52579863851165,347.7439413276646,269.5729257471914,362.8016350493239,435.1906797525139,353.288149228222,353.91814946605706,371.23889359571155,355.8541275231434,360.61821333721286,370.3929596504982,489.33177139947145,403.0109725567945,343.7050899449249,450.39111036635524,381.585791610798,362.3305646547609,263.2132685979524,310.0497676977249,372.9477008731413
RER1,237.6649128696118,211.3977561658505,270.68576137837925,199.49507074333147,270.1546088036815,265.1211883432069,213.2134620723741,251.1393417501415,184.71693040021455,222.9292411802791,192.36898881955912,189.817622271691,221.55825041180086,278.11854699415625,250.64361938488722,230.97816070416354,255.95388105459315,218.92006374585537,292.22510391118976,225.45658413508585,281.9483063777907,260.9731350951642,265.4167083463587,251.93752736117995,252.48396061613832,275.0720571117566,197.73094323943738,211.90451749125083,249.88246356288946
ARHGEF16,419.1156697012016,307.94961595313794,426.791470355115,368.37456132308233,382.46607538498733,400.79353355170247,348.10361154673325,404.57695524761704,374.73673918512424,307.854666391814,347.7439413276646,341.3526988751418,361.4168959842502,422.9419354548438,395.0620857923698,370.0617843539825,411.4299988852758,387.25302112812665,424.0372784413434,496.92471605284226,463.70010718330866,420.97961464531403,448.7260896503186,479.24429087419986,404.4645971035225,391.41673383576233,320.99179097311264,335.7013671835079,380.45167875791276
LRRC47,441.88596075457764,388.2401098815139,416.79455303148166,426.642923569897,445.1986062682392,492.9013642437086,407.5713118526335,576.3746250610297,336.7327774281423,367.56785599367447,523.8355541701841,370.06460812632196,423.73015391256916,502.19851620447383,386.70729847954027,522.8054067551229,438.9291761886618,532.0368083066604,506.1090097525712,557.8900168648807,441.56366990571354,468.04034392476984,401.94400796337055,458.8359436857244,513.1389231939639,456.237339439137,364.64667454545594,351.3153842618106,484.756971356236
LINC01646,29.174435412137974,38.62074391491499,28.452764690341,46.41716992542861,38.44897054134793,32.36221078367784,36.26079286945138,28.195800770903617,52.144970782835685,61.04014937079071,52.53153156226423,31.90212139020017,44.311650082360174,26.65903170669373,27.4514440278686,39.73817818566255,23.26853464132665,38.37642551720174,28.6007548508824,27.60692866960235,23.301512923784355,30.803386437462,35.32524535545062,30.964388837686922,26.96430647356817,36.565469827544675,38.519014916773514,45.726764300743604,27.01432038517724
AJAP1,699.4748782958934,792.7415856219393,785.9115003656352,1016.2397415588518,765.9439657842206,882.4925940625994,903.6189583067284,655.7162969977585,875.8587465388164,804.137619971721,473.52366478660707,634.8522156649833,596.8225370467885,704.6630543012559,587.22219398745,456.9890491351193,631.4234173123641,638.4441699679925,530.9792313620342,621.1558950660528,566.2267640479598,521.9462701903284,744.6943615473373,683.3277627589546,530.2980273135073,812.7506702576976,774.2321998271476,650.2122826178908,778.1625066507999
ACOT7,2010.1897570558483,1767.4072017904518,2182.4039511131828,1796.4432360500987,1944.7084573808086,2050.0215831045152,1752.1215114518907,1999.2789895461658,1745.5308016288218,1874.9941534984189,1880.036925348076,1733.8802975573792,1804.3150017911032,2165.866197576253,1982.471675229989,1917.3670974582178,1976.7677838472503,1982.4912545590807,1933.659730135745,2215.4560257355884,2137.913810757215,2046.7138988446973,1815.9085585423534,2057.7243854862854,1933.2590641352208,2030.2146088339011,1655.0336742573688,1779.997946926507,1951.7846478290555
