Geneid	C07	C10	C11	C12	C17	C18	C35	C36	C37	C39	C42	C44	C49	D01	D04	D05	D15	D16	D19	D20	D25	D31	D38	D41	D51	D57	E02	E03	E06
LOC100132287	99.62002336	75.2088171	89.97225591	79.00794881	77.9097561	78.41612613	65.26942717	99.66887714	62.75072755	50.42447122	83.60652206	55.82871243	87.2385611	105.9156125	64.45121641	81.95999251	92.0164779	92.45229784	96.99386428	141.4855094	129.3233967	80.43106459	84.97153613	106.9678887	102.1375245	66.48267241	73.18612834	43.49619043	99.05250808
LOC100133331	92.5043074	66.0617988	88.43426863	59.25596161	63.7443459	75.9267253	52.21554173	82.62025342	72.47267126	72.98278729	85.82616424	52.63850029	96.93173456	89.34378194	70.41892164	76.99272023	72.97858592	95.0688723	88.28928671	119.6300242	107.1869594	76.15281647	80.19785432	99.2267915	98.05202354	71.46887284	53.92662088	49.0726251	78.04137
B3GALT6	56.92572763	46.75142684	70.74741491	59.25596161	73.86249604	64.72442157	46.41381487	88.52170009	45.95827933	26.53919538	86.56604497	41.47275781	70.62169232	82.13863823	33.41914925	76.99272023	75.09390725	81.98599997	109.4289751	94.32367295	103.6917325	66.74067061	36.27998172	75.29976376	98.05202354	72.29990625	42.37091641	39.0350427	80.29256337
ATAD3A	382.8255183	304.9006099	426.0224767	301.2178048	411.8087108	385.8571286	277.0324575	371.1354241	278.4011152	237.5257986	347.7439413	269.5729257	362.801635	435.1906798	353.2881492	353.9181495	371.2388936	355.8541275	360.6182133	370.3929597	489.3317714	403.0109726	343.7050899	450.3911104	381.5857916	362.3305647	263.2132686	310.0497677	372.9477009
RER1	237.6649129	211.3977562	270.6857614	199.4950707	270.1546088	265.1211883	213.2134621	251.1393418	184.7169304	222.9292412	192.3689888	189.8176223	221.5582504	278.118547	250.6436194	230.9781607	255.9538811	218.9200637	292.2251039	225.4565841	281.9483064	260.9731351	265.4167083	251.9375274	252.4839606	275.0720571	197.7309432	211.9045175	249.8824636
ARHGEF16	419.1156697	307.949616	426.7914704	368.3745613	382.4660754	400.7935336	348.1036115	404.5769552	374.7367392	307.8546664	347.7439413	341.3526989	361.416896	422.9419355	395.0620858	370.0617844	411.4299989	387.2530211	424.0372784	496.9247161	463.7001072	420.9796146	448.7260897	479.2442909	404.4645971	391.4167338	320.991791	335.7013672	380.4516788
LRRC47	441.8859608	388.2401099	416.794553	426.6429236	445.1986063	492.9013642	407.5713119	576.3746251	336.7327774	367.567856	523.8355542	370.0646081	423.7301539	502.1985162	386.7072985	522.8054068	438.9291762	532.0368083	506.1090098	557.8900169	441.5636699	468.0403439	401.944008	458.8359437	513.1389232	456.2373394	364.6466745	351.3153843	484.7569714
LINC01646	29.17443541	38.62074391	28.45276469	46.41716993	38.44897054	32.36221078	36.26079287	28.19580077	52.14497078	61.04014937	52.53153156	31.90212139	44.31165008	26.65903171	27.45144403	39.73817819	23.26853464	38.37642552	28.60075485	27.60692867	23.30151292	30.80338644	35.32524536	30.96438884	26.96430647	36.56546983	38.51901492	45.7267643	27.01432039
AJAP1	699.4748783	792.7415856	785.9115004	1016.239742	765.9439658	882.4925941	903.6189583	655.716297	875.8587465	804.13762	473.5236648	634.8522157	596.822537	704.6630543	587.222194	456.9890491	631.4234173	638.44417	530.9792314	621.1558951	566.226764	521.9462702	744.6943615	683.3277628	530.2980273	812.7506703	774.2321998	650.2122826	778.1625067
ACOT7	2010.189757	1767.407202	2182.403951	1796.443236	1944.708457	2050.021583	1752.121511	1999.27899	1745.530802	1874.994153	1880.036925	1733.880298	1804.315002	2165.866198	1982.471675	1917.367097	1976.767784	1982.491255	1933.65973	2215.456026	2137.913811	2046.713899	1815.908559	2057.724385	1933.259064	2030.214609	1655.033674	1779.997947	1951.784648
TNFRSF25	97.48530857	49.80043294	87.66527499	60.24356097	97.13424137	99.57603318	52.21554173	93.76743047	51.26115772	88.90630452	91.00532933	95.70636417	76.16064858	114.5617849	83.54787313	84.44362864	85.67051391	88.09134039	100.7243975	115.0288695	114.1774133	90.69886007	87.83574521	104.8566804	108.6743261	83.10334052	70.61819401	54.64905977	86.29574567
CASZ1	2725.31921	2038.768745	2915.25489	2184.569785	2588.222806	2580.26396	1871.056912	2585.489359	2172.412512	1995.747492	2333.583811	2059.281936	2520.225098	2975.003836	2444.37206	2263.834339	2697.034697	2336.600999	2504.431316	2789.450084	2894.047905	3267.725911	2650.348138	3163.99755	2448.849288	2588.669057	2077.458871	2173.694235	2714.939199
CLCN6	442.5975323	398.4034635	449.0922859	406.8909364	381.4542604	450.5815501	400.3191533	457.034259	416.2759532	326.4321032	461.6855732	419.5128963	455.5791524	447.4394241	457.1262201	499.2108635	431.5255515	429.9904041	451.3945222	439.4102813	474.185788	421.8352643	453.4997715	508.8012075	451.0393083	455.406306	383.906182	441.6536259	412.7187837
AADACL3	72.58030273	81.30682929	84.58930043	104.6855322	68.80342097	60.99032032	84.12503946	76.71880675	62.75072755	119.4263792	51.79165084	54.23360636	106.624908	49.71549156	66.8382985	42.22181432	49.71005128	78.49723401	41.03586566	52.91327995	64.07916054	59.03982401	47.73681805	64.74372212	48.20891157	95.56884159	86.02579998	47.95733817	93.79972356
C1orf158	43.40586732	71.14347563	58.44351666	73.08235265	69.81523598	57.25621908	100.0797883	44.5887082	98.10325012	62.36710914	57.71069665	62.20913671	69.23695325	51.87703467	57.28997015	38.49636012	58.1713366	66.28655317	53.47097646	63.2658782	55.92363102	52.19462702	35.32524536	61.92877768	58.01411393	45.70683728	62.91439103	61.34078138	52.52784519
PRAMEF25	10.67357393	19.31037196	19.22484101	18.76438784	9.106335128	14.93640498	13.05388543	7.868595564	15.90863515	23.88527584	7.398807262	12.76084856	6.923695325	13.68977304	13.12895149	3.725454205	3.172981997	9.594106379	9.948088644	5.751443473	4.660302585	8.556496233	12.41157269	11.25977776	8.988102158	6.648267241	16.69157313	12.26815628	15.75835356
