Geneid	C36	D01	D04	D05	D15	D16	D19	D20	D25	D31	D38	D41	D51	D57
LOC100132287	99.66887714	105.9156125	64.45121641	81.95999251	92.0164779	92.45229784	96.99386428	141.4855094	129.3233967	80.43106459	84.97153613	106.9678887	102.1375245	66.48267241
LOC100133331	82.62025342	89.34378194	70.41892164	76.99272023	72.97858592	95.0688723	88.28928671	119.6300242	107.1869594	76.15281647	80.19785432	99.2267915	98.05202354	71.46887284
B3GALT6	88.52170009	82.13863823	33.41914925	76.99272023	75.09390725	81.98599997	109.4289751	94.32367295	103.6917325	66.74067061	36.27998172	75.29976376	98.05202354	72.29990625
ATAD3A	371.1354241	435.1906798	353.2881492	353.9181495	371.2388936	355.8541275	360.6182133	370.3929597	489.3317714	403.0109726	343.7050899	450.3911104	381.5857916	362.3305647
RER1	251.1393418	278.118547	250.6436194	230.9781607	255.9538811	218.9200637	292.2251039	225.4565841	281.9483064	260.9731351	265.4167083	251.9375274	252.4839606	275.0720571
ARHGEF16	404.5769552	422.9419355	395.0620858	370.0617844	411.4299989	387.2530211	424.0372784	496.9247161	463.7001072	420.9796146	448.7260897	479.2442909	404.4645971	391.4167338
LRRC47	576.3746251	502.1985162	386.7072985	522.8054068	438.9291762	532.0368083	506.1090098	557.8900169	441.5636699	468.0403439	401.944008	458.8359437	513.1389232	456.2373394
LINC01646	28.19580077	26.65903171	27.45144403	39.73817819	23.26853464	38.37642552	28.60075485	27.60692867	23.30151292	30.80338644	35.32524536	30.96438884	26.96430647	36.56546983
AJAP1	655.716297	704.6630543	587.222194	456.9890491	631.4234173	638.44417	530.9792314	621.1558951	566.226764	521.9462702	744.6943615	683.3277628	530.2980273	812.7506703
ACOT7	1999.27899	2165.866198	1982.471675	1917.367097	1976.767784	1982.491255	1933.65973	2215.456026	2137.913811	2046.713899	1815.908559	2057.724385	1933.259064	2030.214609
TNFRSF25	93.76743047	114.5617849	83.54787313	84.44362864	85.67051391	88.09134039	100.7243975	115.0288695	114.1774133	90.69886007	87.83574521	104.8566804	108.6743261	83.10334052
CASZ1	2585.489359	2975.003836	2444.37206	2263.834339	2697.034697	2336.600999	2504.431316	2789.450084	2894.047905	3267.725911	2650.348138	3163.99755	2448.849288	2588.669057
CLCN6	457.034259	447.4394241	457.1262201	499.2108635	431.5255515	429.9904041	451.3945222	439.4102813	474.185788	421.8352643	453.4997715	508.8012075	451.0393083	455.406306
AADACL3	76.71880675	49.71549156	66.8382985	42.22181432	49.71005128	78.49723401	41.03586566	52.91327995	64.07916054	59.03982401	47.73681805	64.74372212	48.20891157	95.56884159
C1orf158	44.5887082	51.87703467	57.28997015	38.49636012	58.1713366	66.28655317	53.47097646	63.2658782	55.92363102	52.19462702	35.32524536	61.92877768	58.01411393	45.70683728
PRAMEF25	7.868595564	13.68977304	13.12895149	3.725454205	3.172981997	9.594106379	9.948088644	5.751443473	4.660302585	8.556496233	12.41157269	11.25977776	8.988102158	6.648267241
RAP1GAP	794.0724357	901.3634774	759.0921044	731.4308422	801.7067845	745.7237231	767.2463367	827.0575714	870.3115077	883.8860608	918.4563792	958.4885817	722.3165734	768.7058998
MAN1C1	2586.800792	2710.575062	2795.273127	2940.625186	2792.224157	2688.094169	2837.692286	2965.444255	2676.178759	2727.810999	2815.517528	2669.974801	2796.116871	2600.303525
LINC01648	51.80158746	54.03857778	54.90288806	31.04545171	59.22899727	74.13627657	44.7663989	55.21385734	59.41885796	60.75112325	66.83154527	61.92877768	51.47731236	60.66543858
RBBP4	412.4455508	433.0291366	428.481235	435.878142	446.3328008	469.2390211	460.0990998	448.6125909	462.5350315	497.9880807	545.1544621	472.9106659	486.9917169	437.1235711
ZSCAN20	103.6031749	100.1514975	100.2574478	110.5218081	107.8813879	95.94106379	82.07173131	73.61847645	88.54574911	89.84321044	105.9757361	93.59690262	88.24682119	110.5274429
THRAP3	1611.750658	1632.685563	1465.668403	1741.028932	1569.568428	1471.387042	1597.911738	1735.78564	1645.086812	1546.158869	1586.771832	1501.772859	1707.73941	1665.390944
LINC01137	272.1222633	235.6081991	303.1594254	293.0690641	274.991773	252.9355318	268.5983934	272.6184206	273.7927769	295.19912	292.1493265	280.7907079	272.9114655	226.8721196
BMP8A	433.4284723	402.7675331	504.8678619	445.8126865	370.1812329	379.4032977	383.0014128	460.1154778	415.9320057	443.2265049	439.178726	390.573541	419.9895008	400.5581013
CITED4	7.212879267	7.205143705	8.354787313	7.45090841	4.230642662	4.360957445	11.19159972	13.80346433	3.495226939	13.69039397	0.954736361	4.22241666	11.43940275	9.141367457
CCDC30	637.3562407	592.9833269	738.8019067	578.6872198	612.3855253	778.8669997	664.034917	620.0056064	596.5187308	647.7267648	759.015407	631.2512906	606.2883456	679.7853254
PTPRF	1437.985839	1546.944353	1475.216731	1681.421664	1665.815548	1521.101957	1471.073608	1949.739337	1720.816729	1588.94135	1240.202533	1750.895442	1380.082231	1414.418856
SKINT1L	168.5190883	175.084992	255.4177836	140.3254417	179.8023131	201.476234	160.4129294	156.4392625	151.459834	172.8412239	194.7662176	224.4918191	159.3345383	203.6031843
AGBL4	2015.016181	2282.589526	2579.242198	1553.514403	2093.110457	2948.007233	1684.957514	1744.98795	2168.205778	2416.354536	2990.234283	3335.005425	1937.344565	2374.262439
ELAVL4	348.84107	428.7060504	438.0295634	345.225423	363.8352689	507.6154466	344.4525693	377.2946918	429.9129134	358.5171921	452.5450351	492.615277	366.0608879	405.5443017
SHISAL2A	380.3154523	414.295763	404.6104141	343.9836049	353.2586623	384.6364467	364.3487466	373.8438257	405.4463249	339.6929004	326.5198354	360.3128883	424.892102	437.1235711
SSBP3	3877.250464	4187.629521	3580.623134	4059.503265	3680.659116	3660.587679	3927.007992	4282.52481	4146.504225	4028.398426	3884.822253	3635.500744	3926.983543	3717.212421
MYSM1	318.6781203	301.8955212	340.1591977	314.1799713	326.8171456	343.6434467	351.9136358	295.6241945	326.2211809	335.4146523	438.2239897	394.0922216	327.6571787	363.1615981
PDE4B	2298.285621	2220.62529	2709.338171	2270.043429	2340.603053	2450.858084	2259.459633	1991.14973	2182.186685	2349.613865	2963.501664	2275.178843	2440.678286	2310.272866
TCTEX1D1	228.8449877	197.4209375	192.1601082	264.5072485	218.9357578	180.5436382	186.5266621	179.4450364	174.7613469	207.9228585	192.8567449	154.8219442	207.5434498	184.4894159
LINC02238	53.76873635	49.71549156	105.0316119	21.11090716	62.40197927	105.5351702	39.79235458	28.75721736	61.74900925	41.92683154	74.46943615	105.5604165	61.28251471	78.94817349
LRRIQ3	161.3062091	190.9363082	227.9663395	176.3381657	144.8995112	252.9355318	162.8999515	136.8843547	194.5676329	183.964669	252.0503993	311.7550967	201.0066483	246.8169213
ERICH3	93.76743047	69.88989393	102.6445298	94.37817319	63.45963993	102.0464042	74.61066483	64.4161669	86.21559782	64.17372174	100.2473179	125.2650276	78.44161883	118.8377769
ADGRL4	159.9947765	176.5260208	210.0632239	156.4690766	197.7825445	259.9130637	206.4228394	149.5375303	173.5962713	231.8810479	346.569299	260.3823607	203.4579488	268.4237899
LINC01140	317.3666877	298.2929494	386.7072985	337.7745146	302.4909503	354.981936	353.1571469	308.2773701	358.843299	308.889514	315.0629991	306.1252078	314.5835755	362.3305647
PKN2-AS1	570.4731784	559.8396658	628.9961306	551.3672223	501.3311555	616.6393827	543.4143422	533.7339543	611.6647142	546.7601093	560.4302439	647.4372212	555.6281334	633.2474547
GLMN	167.2076557	205.3465956	212.450306	197.4490729	191.4365805	216.3034893	187.7701732	150.687819	220.1992971	210.4898073	222.4535721	232.9366524	213.2631512	179.5032155
PLPPR5	135.7332735	164.9977908	188.5794851	136.5999875	147.0148325	195.3708935	129.3251524	116.1791582	164.2756661	185.6759682	251.0956629	256.159944	174.0423418	182.8273491
LOC100129620	122.6189475	175.084992	219.6115522	95.61999126	177.6869918	248.5745744	130.5686634	123.0808903	198.0628599	155.7282314	208.1325267	293.4579578	138.9070333	207.7583513
LOC102606465	421.625579	363.8597571	430.8683171	454.505413	396.6227496	447.4342339	405.3846122	366.9420936	436.9033673	391.8875275	404.808217	382.8324438	464.9300116	413.0236024
LOC101928436	151.4704646	136.177216	184.9988619	168.8872573	156.5337785	182.2880212	129.3251524	116.1791582	158.4502879	138.615239	297.8777446	206.1946802	165.0542396	181.1652823
LINC01677	66.227346	82.13863823	115.7734813	59.60726728	117.4003339	129.9565319	59.68853186	50.61270256	83.88544653	112.0901006	169.9430723	155.5256803	75.99031824	108.8653761
CELSR2	604.5704258	612.4372149	509.6420261	624.6344884	547.8682247	575.6463828	688.9051386	669.4680202	676.9089504	559.5948536	523.1955258	528.5058186	562.164935	614.9647198
PGBP	25.57293558	25.93851734	34.6126903	18.62727102	29.61449863	24.42136169	31.08777701	20.7051965	30.2919668	27.38078794	35.32524536	19.70461108	20.4275049	24.93100216
SYCP1	215.0749454	237.0492279	247.0629963	214.8345258	211.5321331	319.222085	202.6923061	151.8381077	236.5103562	225.0358509	247.2767175	408.1669438	214.0802514	250.141055
ANKRD20A12P	20.32720521	26.65903171	39.38685447	13.65999875	30.6721593	47.9705319	28.60075485	18.40461911	24.46658857	34.22598493	55.37470894	47.15031937	22.87880549	45.70683728
LOC101927429	79.99738823	107.3566412	133.676597	81.95999251	107.8813879	132.5731063	90.77630887	120.7803129	100.1965056	94.97710818	116.477836	142.1546942	109.4914263	107.2033093
CERS2	269.4993981	218.3158542	202.9019776	233.4617968	217.8780971	247.7023829	298.4426593	284.1213076	302.919668	266.9626825	195.720954	198.453583	268.8259645	264.2686228
RORC	291.1380359	333.5981535	340.1591977	250.8472498	342.6820556	282.5900424	332.0174585	351.9883405	407.7764762	313.1677621	335.1124627	406.7594715	307.2296738	256.7893222
FLG-AS1	32.13009855	39.62829037	45.3545597	23.5945433	24.32619531	71.5197021	29.84426593	29.90750606	31.45704245	34.22598493	33.41577263	68.26240266	23.69590569	33.24133621
PGLYRP4	113.4389194	103.7540693	89.51557835	75.75090217	72.97858592	109.8961276	94.50684212	82.82078601	73.39976571	98.39970668	83.0620634	74.59602765	91.51522197	103.8791756
DAP3	551.4574058	667.196307	631.3832126	664.3726665	639.8847026	648.0382763	613.0509627	610.8032968	667.5883453	668.2623558	696.9575435	686.8464433	721.4994732	650.6991562
FCRL3	106.8817564	79.97709512	97.87036566	117.9727165	81.43987124	123.8511914	73.36715375	100.0751164	71.06961442	88.98756082	71.60522707	77.41097209	125.8334302	115.5136433
FCRL2	148.1918831	132.5746442	158.7409589	132.8745333	151.2454752	179.6714467	164.1434626	119.6300242	121.1678672	140.3265382	117.4325724	107.6716248	160.9687386	147.0929127
CD5L	48.52300598	46.83343408	63.25767537	37.25454205	46.53706928	60.18121274	44.7663989	19.55490781	50.09825279	48.77202853	40.09892716	33.07559717	60.46541452	58.17233836
CADM3	125.2418127	134.0156729	147.9990895	156.4690766	154.4184572	144.7837872	135.5427078	138.0346433	135.148775	111.234451	112.6588906	85.85580541	123.3821296	129.6412112
LINC01681	144.2575853	140.5003022	176.6440746	139.0836236	163.9374032	196.243085	143.0037743	106.9768486	135.148775	139.4708886	145.1199269	172.4153469	122.5650294	159.5584138
PRRX1	135.0775572	105.9156125	198.1278134	105.5545358	119.5156552	191.0099361	125.5946191	101.2254051	142.1392288	159.1508299	155.6220268	173.8228192	107.0401257	159.5584138
MROH9	151.4704646	152.7490465	229.1598806	108.0381719	124.8039585	239.8526595	109.4289751	100.0751164	179.4216495	173.6968735	229.1367266	275.160819	125.01633	181.1652823
TNR	1197.337958	1435.264626	1495.506929	1062.996266	1294.576655	1360.618723	1195.014148	1282.571894	1334.011615	1197.053823	1515.166605	1762.155219	1245.260699	1440.180891
ASTN1	372.4468567	424.3829642	534.706388	347.7090591	429.4102302	584.3682976	364.3487466	342.786031	452.0493507	400.4440237	595.7554892	738.9229154	326.0229783	497.7890097
LINC01645	22.2943541	23.77697422	23.87082089	14.90181682	22.21087398	35.75985105	17.40915513	14.95375303	20.97136163	18.82429171	29.59682719	33.07559717	10.62230255	27.42410237
TDRD5	163.273358	144.8233885	248.2565373	156.4690766	153.3607965	211.0703403	179.0655956	155.2889738	145.6344558	205.3559096	229.1367266	241.3814857	142.1754341	224.3790194
CACNA1E	628.8319288	636.2141891	738.8019067	479.3417744	657.864934	790.2054891	568.2845638	509.5778917	770.1150021	630.6137723	785.7480251	953.562429	578.5069389	763.7196994
RGSL1	289.170887	291.80832	362.8364776	276.9254292	291.9143437	430.8625956	290.9815928	307.1270814	320.3958027	296.0547696	360.8903444	392.6847494	299.0586718	383.1063998
GS1-279B7.1	114.0946357	90.06429631	127.7088918	86.92726478	88.8434959	109.8961276	96.99386428	79.36991993	97.86635428	100.9666555	89.74521793	76.00349987	90.69812177	90.58264116
LINC01350	389.4954804	317.7468374	384.3202164	406.0745083	349.0280196	353.2375531	374.2968352	348.5374745	330.8814835	313.1677621	362.7998172	306.8289439	403.6474969	359.006431
HMCN1	1357.332735	1526.769951	1692.441201	1696.323481	1487.070896	1586.516319	1477.291164	1416.005383	1387.605095	1271.49534	1470.293996	1881.790358	1307.360314	1658.742677
LINC01221	263.5979514	222.6389405	337.7721156	247.1217956	247.4925957	208.4537659	252.4327493	200.1502329	201.5580868	236.159296	257.7788175	166.0817219	250.8497602	222.7169526
KLHDC8A	243.9264625	254.3415728	269.7402761	245.8799775	251.7232384	284.3344254	264.8678601	278.3698641	258.6467935	253.2722885	225.3177812	239.9740135	245.1300589	234.3514203
